Time	TOPUPCC:rdCur [mA]	TOPUPCC:rdCurrentB [mA]	PAHB:sDelay [ns]	PAHB:pDelay [ns]	TOPUPCC:rdEffBoostRraw [%]	TOPUP1T5G:rdEffBoostRraw []	TOPUP2T5G:rdEffBoostRraw []	LINAC1C:rdHVS_C [µA]	
09/04/2017 07:10:45.329049	0.935838	0.56914	0	-0.0700784	77.0529	0.813601	0.770529	-3.81947	
09/04/2017 07:10:45.828908	0.935838	0.566973	0	-0.0700784	77.0529	0.787631	0.770529	-3.81947	
09/04/2017 07:10:46.328272	0.936168	0.560155	0	-0.0700784	77.0529	0.787631	0.770529	-3.81947	
09/04/2017 07:10:46.827513	0.936168	0.560155	0	-0.0700784	77.0529	0.787631	0.770529	-3.81947	
09/04/2017 07:10:47.327276	1.11693	0.551011	0	-0.0700784	78.7631	0.787631	0.820558	-3.81947	
09/04/2017 07:10:47.826339	1.11693	0.551011	0	-0.0700784	82.0558	0.827513	0.820558	-3.99307	
09/04/2017 07:10:48.326155	1.1157	0.553894	0	-0.0700784	82.0558	0.827513	0.820558	-3.81947	
09/04/2017 07:10:48.825430	1.1157	0.571512	0	-0.0700784	82.0558	0.827513	0.820558	-3.81947	
09/04/2017 07:10:49.325376	1.29992	0.56958	0	-0.0700784	80.8303	0.827513	0.808303	-3.81947	
09/04/2017 07:10:49.824382	1.29992	0.56958	0	-0.0700784	80.1783	0.801783	0.808303	-3.81947	
09/04/2017 07:10:50.324448	1.29819	0.563705	0	-0.0700784	80.1783	0.801783	0.808303	-3.81947	
09/04/2017 07:10:50.823659	1.29819	0.563705	0	-0.0700784	80.1783	0.801783	0.808303	-3.81947	
09/04/2017 07:10:51.323218	1.47785	0.549276	0	-0.0700784	80.1783	0.801783	0.81981	-3.99307	
09/04/2017 07:10:51.822324	1.47785	0.549276	0	-0.0700784	80.5795	0.805795	0.81981	-3.99307	
09/04/2017 07:10:52.321663	1.47777	0.550942	0	-0.0700784	80.5795	0.805795	0.81981	-3.99307	
09/04/2017 07:10:52.820839	1.47777	0.572478	0	-0.0700784	80.5795	0.805795	0.81981	-3.99307	
09/04/2017 07:10:53.320754	1.65481	0.566954	0	-0.0700784	78.4713	0.805795	0.784713	-3.81947	
09/04/2017 07:10:53.820265	1.65481	0.566954	0	-0.0700784	77.9467	0.779467	0.784713	-3.81947	
09/04/2017 07:10:54.319631	1.6558	0.569765	0	-0.0700784	77.9467	0.779467	0.784713	-3.81947	
09/04/2017 07:10:54.818899	1.6558	0.573083	0	-0.0700784	77.9467	0.779467	0.784713	-3.81947	
09/04/2017 07:10:55.318792	1.83574	0.554072	0	-0.0700784	77.9467	0.779467	0.814698	-3.81947	
09/04/2017 07:10:55.818443	1.83574	0.554072	0	-0.0700784	80.5487	0.805487	0.814698	-3.81947	
09/04/2017 07:10:56.317795	1.83491	0.560449	0	-0.0700784	80.5487	0.805487	0.814698	-3.81947	
09/04/2017 07:10:56.816999	1.83491	0.561336	0	-0.0700784	80.5487	0.805487	0.814698	-3.81947	
09/04/2017 07:10:57.316843	2.00827	0.556046	0	-0.0700784	78.4164	0.805487	0.784164	-3.81947	
09/04/2017 07:10:57.815951	2.00827	0.556046	0	-0.0700784	77.305	0.77305	0.784164	-3.99307	
