Time	TOPUPCC:rdCur [mA]	TOPUPCC:rdCurrentB [mA]	PAHB:sDelay [ns]	PAHB:pDelay [ns]	TOPUPCC:rdEffBoostRraw [%]	TOPUP1T5G:rdEffBoostRraw []	TOPUP2T5G:rdEffBoostRraw []	
09/04/2017 04:51:52.073340	8.17868	0.584326	0.25	0.182875	22.8235	0.228235	0.232353	
09/04/2017 04:51:53.073225	8.229	0.565925	0.25	0.182875	22.7507	0.228235	0.227507	
09/04/2017 04:51:54.073162	8.22945	0.565923	0.25	0.182875	22.7507	0.228184	0.227507	
09/04/2017 04:51:55.072601	8.28072	0.56772	0.25	0.182875	22.8184	0.228184	0.232134	
09/04/2017 04:51:56.072469	8.28118	0.579649	0.25	0.182875	22.7705	0.227705	0.232134	
09/04/2017 04:51:57.071448	8.28118	0.565263	0.25	0.182875	22.7705	0.227705	0.244544	
09/04/2017 04:51:58.070654	8.33718	0.560777	0.3	0.182875	24.4544	0.248994	0.244544	
09/04/2017 04:51:59.070021	8.33662	0.57459	0.3	0.21347	24.7844	0.248994	0.247844	
09/04/2017 04:52:00.069549	8.39207	0.582236	0.3	0.23548	23.9132	0.239132	0.247844	
09/04/2017 04:52:01.068839	8.39283	0.584578	0.3	0.23548	-1	0.239132	-1	
09/04/2017 04:52:02.067862	8.40947	0.584466	0.3	0.23548	-1	-1	-1	
09/04/2017 04:52:03.067256	8.40883	0.584731	0.3	0.23548	-1	-1	-1	
09/04/2017 04:52:04.066925	8.42295	0.577603	0.3	0.23548	-1	-1	-1	
09/04/2017 04:52:05.066213	8.42335	0.572674	0.3	0.23548	-1	-1	-1	
09/04/2017 04:52:06.065449	8.4372	0.581718	0.3	0.23548	-1	-1	-1	
09/04/2017 04:52:07.064855	8.43787	0.599471	0.3	0.23548	-1	-1	-1	
09/04/2017 04:52:08.063996	8.45087	0.586776	0.35	0.23548	-1	-1	-1	
09/04/2017 04:52:09.063228	8.46653	0.581345	0.35	0.265138	-1	-1	-1	
09/04/2017 04:52:10.062643	8.46632	0.578685	0.35	0.287928	-1	-1	-1	
09/04/2017 04:52:11.061683	8.46928	0.579015	0.35	0.287928	-1	-1	-1	
09/04/2017 04:52:12.060993	8.46965	0.567318	0.35	0.287928	-1	-1	-1	
09/04/2017 04:52:13.060357	8.47223	0.549613	0.35	0.287928	-1	-1	-1	
09/04/2017 04:52:14.059576	8.47223	0.579336	0.35	0.287928	-1	-1	-1	
09/04/2017 04:52:15.058766	8.47186	0.575278	0.35	0.287928	-1	-1	-1	
09/04/2017 04:52:16.057931	8.47413	0.564047	0.35	0.287928	-1	-1	-1	
09/04/2017 04:52:17.057029	8.47203	0.562864	0.35	0.287928	-1	-1	-1	
09/04/2017 04:52:18.056186	8.47611	0.578019	0.4	0.287928	-1	-1	-1	
09/04/2017 04:52:19.055314	8.47567	0.570141	0.4	0.317742	-1	-1	-1	
09/04/2017 04:52:20.054480	8.47857	0.579828	0.4	0.340142	-1	-1	-1	
09/04/2017 04:52:21.053635	8.47848	0.592779	0.4	0.340142	-1	-1	-1	
09/04/2017 04:52:22.052880	8.47749	0.589377	0.4	0.340142	-1	-1	-1	
09/04/2017 04:52:23.051993	8.47755	0.589377	0.4	0.340142	-1	-1	-1	
09/04/2017 04:52:24.051120	8.47836	0.572638	0.4	0.340142	-1	-1	-1	
09/04/2017 04:52:25.050167	8.47689	0.58929	0.4	0.340142	-1	-1	-1	
09/04/2017 04:52:26.049236	8.47715	0.594098	0.4	0.340142	-1	-1	-1	
09/04/2017 04:52:27.048420	8.47708	0.585628	0.4	0.340142	-1	-1	-1	
09/04/2017 04:52:28.047544	8.47731	0.574467	0.45	0.340142	-1	-1	-1	
09/04/2017 04:52:29.046726	8.47775	0.588497	0.45	0.369254	-1	-1	-1	
09/04/2017 04:52:30.045899	8.47795	0.590568	0.45	0.392824	-1	-1	-1	
09/04/2017 04:52:31.045091	8.47721	0.574828	0.45	0.392824	-1	-1	-1	
09/04/2017 04:52:32.044253	8.47847	0.587579	0.45	0.392824	-1	-1	-1	
09/04/2017 04:52:33.043318	8.47697	0.583227	0.45	0.392824	-1	-1	-1	
09/04/2017 04:52:34.042467	8.47576	0.572803	0.45	0.392824	-1	-1	-1	
09/04/2017 04:52:35.041899	8.47645	0.558019	0.45	0.392824	-1	-1	-1	
09/04/2017 04:52:36.041261	8.47649	0.55544	0.45	0.392824	-1	-1	-1	
09/04/2017 04:52:37.040451	8.47788	0.584602	0.45	0.392824	-1	-1	-1	
09/04/2017 04:52:38.039611	8.47681	0.57635	0.5	0.392824	-1	-1	-1	
09/04/2017 04:52:39.038824	8.47676	0.586163	0.5	0.421936	-1	-1	-1	
09/04/2017 04:52:40.037959	8.4764	0.590606	0.5	0.44496	-1	-1	-1	
09/04/2017 04:52:41.037144	8.4771	0.588036	0.5	0.44496	-1	-1	-1	
09/04/2017 04:52:42.036178	8.47768	0.567381	0.5	0.44496	-1	-1	-1	
09/04/2017 04:52:43.035342	8.47694	0.584032	0.5	0.44496	-1	-1	-1	
09/04/2017 04:52:44.034521	8.47752	0.571344	0.5	0.44496	-1	-1	-1	
09/04/2017 04:52:45.033670	8.47752	0.563706	0.5	0.44496	-1	-1	-1	
09/04/2017 04:52:46.032850	8.47487	0.560136	0.5	0.44496	-1	-1	-1	
09/04/2017 04:52:47.031994	8.47556	0.564661	0.5	0.44496	-1	-1	-1	
09/04/2017 04:52:48.031180	8.47492	0.57355	0.55	0.44496	-1	-1	-1	
09/04/2017 04:52:49.032846	8.47613	0.568803	0.55	0.473994	-1	-1	-1	
09/04/2017 04:52:50.035436	8.47592	0.57204	0.55	0.497253	-1	-1	-1	
09/04/2017 04:52:51.035443	8.47595	0.578525	0.55	0.497253	-1	-1	-1	
09/04/2017 04:52:52.034677	8.47699	0.568874	0.55	0.497253	-1	-1	-1	
09/04/2017 04:52:53.033726	8.47523	0.556855	0.55	0.497253	-1	-1	-1	
09/04/2017 04:52:54.032825	8.47485	0.559732	0.55	0.497253	-1	-1	-1	
09/04/2017 04:52:55.031968	8.47413	0.562422	0.55	0.497253	-1	-1	-1	
09/04/2017 04:52:56.031140	8.47451	0.557155	0.55	0.497253	-1	-1	-1	
09/04/2017 04:52:57.030618	8.47378	0.553663	0.55	0.497253	-1	-1	-1	
09/04/2017 04:52:58.030430	8.47326	0.560328	0.6	0.497253	-1	-1	-1	
09/04/2017 04:52:59.030010	8.47203	0.330122	0.6	0.525584	-1	-1	-1	
09/04/2017 04:53:00.029523	8.4733	0.32792	0.6	0.549467	-1	-1	-1	
09/04/2017 04:53:01.029008	8.4721	0.327426	0.6	0.549467	-1	-1	-1	
09/04/2017 04:53:02.028069	8.47321	0.567602	0.6	0.549467	-1	-1	-1	
09/04/2017 04:53:03.027352	8.47269	0.560401	0.6	0.549467	-1	-1	-1	
09/04/2017 04:53:04.026515	8.47151	0.557513	0.6	0.549467	-1	-1	-1	
09/04/2017 04:53:05.026474	8.47134	0.560382	0.6	0.549467	-1	-1	-1	
09/04/2017 04:53:06.025733	8.47133	0.565302	0.6	0.549467	-1	-1	-1	
09/04/2017 04:53:07.024933	8.47272	0.56934	0.6	0.549467	-1	-1	-1	
09/04/2017 04:53:08.024061	8.4727	0.569105	0.65	0.549467	-1	-1	-1	
09/04/2017 04:53:09.023624	8.47218	0.575267	0.65	0.57772	-1	-1	-1	
